test_id,test_name,model,carrier,family_id,probe_class,rep,pass,is_infra_error,expected_result
208,QS005B,google/gemma-4-e2b,neutral_control,QS-FA05,quant-scope,3,1,0,FALSE
208,QS005B,google/gemma-4-e2b,neutral_control,QS-FA05,quant-scope,4,1,0,FALSE
208,QS005B,google/gemma-4-e2b,neutral_control,QS-FA05,quant-scope,5,1,0,FALSE
208,QS005B,google/gemma-4-e2b,neutral_control,QS-FA05,quant-scope,6,1,0,FALSE
209,QS006A,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,1,1,0,TRUE
209,QS006A,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,2,1,0,TRUE
209,QS006A,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,3,1,0,TRUE
209,QS006A,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,4,1,0,TRUE
209,QS006A,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,5,1,0,TRUE
209,QS006A,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,6,1,0,TRUE
210,QS006B,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,1,1,0,FALSE
210,QS006B,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,2,1,0,FALSE
210,QS006B,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,3,1,0,FALSE
210,QS006B,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,4,1,0,FALSE
210,QS006B,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,5,1,0,FALSE
210,QS006B,google/gemma-4-e2b,neutral_control,QS-FA06,quant-scope,6,1,0,FALSE
211,QS007A,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,1,1,0,TRUE
211,QS007A,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,2,0,0,TRUE
211,QS007A,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,3,0,0,TRUE
211,QS007A,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,4,0,0,TRUE
211,QS007A,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,5,0,0,TRUE
211,QS007A,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,6,0,0,TRUE
212,QS007B,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,1,1,0,FALSE
212,QS007B,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,2,1,0,FALSE
212,QS007B,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,3,1,0,FALSE
212,QS007B,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,4,1,0,FALSE
212,QS007B,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,5,1,0,FALSE
212,QS007B,google/gemma-4-e2b,neutral_control,QS-FA07,quant-scope,6,1,0,FALSE
213,QS008A,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,1,0,0,TRUE
213,QS008A,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,2,1,0,TRUE
213,QS008A,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,3,1,0,TRUE
213,QS008A,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,4,1,0,TRUE
213,QS008A,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,5,1,0,TRUE
213,QS008A,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,6,1,0,TRUE
214,QS008B,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,1,1,0,FALSE
214,QS008B,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,2,1,0,FALSE
214,QS008B,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,3,1,0,FALSE
214,QS008B,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,4,1,0,FALSE
214,QS008B,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,5,1,0,FALSE
214,QS008B,google/gemma-4-e2b,neutral_control,QS-FA08,quant-scope,6,1,0,FALSE
215,QS009A,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,1,1,0,TRUE
215,QS009A,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,2,0,0,TRUE
215,QS009A,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,3,0,0,TRUE
215,QS009A,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,4,0,0,TRUE
215,QS009A,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,5,0,0,TRUE
215,QS009A,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,6,0,0,TRUE
216,QS009B,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,1,1,0,FALSE
216,QS009B,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,2,1,0,FALSE
216,QS009B,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,3,1,0,FALSE
216,QS009B,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,4,1,0,FALSE
216,QS009B,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,5,1,0,FALSE
216,QS009B,google/gemma-4-e2b,neutral_control,QS-FA09,quant-scope,6,1,0,FALSE
217,QS010A,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,1,1,0,TRUE
217,QS010A,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,2,1,0,TRUE
217,QS010A,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,3,1,0,TRUE
217,QS010A,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,4,1,0,TRUE
217,QS010A,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,5,1,0,TRUE
